location,EconomicSupportIndex_updated
Iceland,100.0
Ireland,100.0
Hong Kong,100.0
Cyprus,100.0
United Kingdom,100.0
Israel,100.0
Luxembourg,98.20261437908496
Croatia,91.42156862745098
Thailand,89.86928104575163
Malawi,89.6523178807947
Timor,87.58169934640523
Norway,87.5
Slovakia,87.5
Romania,87.5
Bahrain,87.5
Austria,87.5
Spain,86.92434210526316
Honduras,86.35620915032679
Singapore,84.80392156862744
Gabon,84.39542483660131
France,83.98692810457516
Denmark,81.94444444444444
Aruba,80.47385620915033
Hungary,80.3921568627451
Belgium,80.1470588235294
Czech Republic,79.41176470588235
Bhutan,75.65359477124183
Canada,75.0
Cape Verde,75.0
Fiji,75.0
Ecuador,75.0
Paraguay,75.0
Tunisia,75.0
Congo,75.0
Australia,75.0
Peru,75.0
Argentina,75.0
India,75.0
Turkey,74.26470588235294
Malaysia,74.18300653594771
Colombia,74.01960784313725
Lithuania,73.03921568627452
Japan,72.54901960784314
Morocco,72.38562091503267
New Zealand,71.16013071895425
Bulgaria,70.99673202614379
Puerto Rico,70.09803921568627
El Salvador,69.44444444444444
Namibia,68.95424836601308
Slovenia,67.97385620915033
Uruguay,67.72875816993464
Nepal,66.17647058823529
Senegal,66.09477124183006
Egypt,65.19607843137256
Portugal,65.19607843137256
Italy,64.86928104575163
Finland,64.37908496732027
Albania,64.13398692810458
Guatemala,63.39869281045752
Pakistan,63.071895424836605
Botswana,62.5
Netherlands,62.5
United States,62.5
Sweden,62.5
Greece,62.091503267973856
Iran,62.009803921568626
Latvia,60.78431372549019
Saudi Arabia,60.37581699346405
Chile,60.212418300653596
Russia,60.049019607843135
Papua New Guinea,58.66013071895425
Mauritius,57.6797385620915
Oman,56.78104575163399
Bangladesh,54.57516339869281
South Africa,52.77777777777778
Panama,52.369281045751634
Germany,52.369281045751634
Trinidad and Tobago,50.81699346405229
Mongolia,50.490196078431374
Lesotho,50.0
South Korea,50.0
Mali,50.0
Venezuela,50.0
Mauritania,50.0
Kenya,50.0
Uzbekistan,50.0
United Arab Emirates,50.0
Chad,50.0
Brazil,49.83660130718954
Cuba,48.93790849673203
Jamaica,48.69281045751634
Costa Rica,48.69281045751634
Kyrgyzstan,48.529411764705884
Democratic Republic of Congo,47.712418300653596
Azerbaijan,47.712418300653596
Switzerland,47.467320261437905
Cote d'Ivoire,46.07843137254902
Estonia,45.751633986928105
Laos,44.52614379084967
Algeria,44.11764705882353
Qatar,43.872549019607845
Palestine,43.4640522875817
Serbia,42.8921568627451
Belize,41.01307189542484
Uganda,40.68627450980392
Bolivia,39.869281045751634
Angola,39.869281045751634
Sri Lanka,39.54248366013072
Barbados,39.29738562091503
Tajikistan,39.22764227642276
Togo,38.72549019607843
Ukraine,37.5
Jordan,37.5
Kazakhstan,37.5
Poland,37.5
Moldova,37.009803921568626
Benin,35.212418300653596
Iraq,34.967320261437905
Ethiopia,33.00653594771242
Georgia,31.862745098039216
Haiti,31.862745098039216
Kuwait,31.61764705882353
Vietnam,31.535947712418302
Madagascar,30.718954248366014
Sudan,30.718954248366014
Rwanda,30.392156862745097
Guyana,30.22875816993464
Suriname,30.065359477124183
China,28.513071895424837
Ghana,27.77777777777778
Niger,26.633986928104576
Cambodia,25.245098039215687
Central African Republic,25.0
Eritrea,25.0
Seychelles,25.0
Swaziland,25.0
Zambia,25.0
Indonesia,25.0
Dominican Republic,25.0
Zimbabwe,23.856209150326798
Lebanon,23.856209150326798
Bosnia and Herzegovina,23.284313725490197
Sierra Leone,22.712418300653596
Philippines,21.323529411764707
Cameroon,20.424836601307188
Djibouti,17.401960784313726
Guam,13.071895424836601
Brunei,12.5
Somalia,5.718954248366013
Nigeria,2.9411764705882355
Myanmar,1.4705882352941178
Belarus,0.0
Yemen,0.0
Burkina Faso,0.0
Burundi,0.0
Guinea,0.0
Gambia,0.0
Liberia,0.0
Libya,0.0
Mexico,0.0
Mozambique,0.0
Tanzania,0.0
Nicaragua,0.0
Afghanistan,0.0
